tfidf,modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
palabras,LinearSVC,0.8323302469135803,0.005169753086419759,0.836218609708193,0.00013555695847361493,0.8323302469135803,0.005169753086419759,0.8047902628921146,0.006000335398483603
palabras,Regresión Logística,0.8260802469135802,0.001080246913580274,0.7965632599139544,0.03437575991395436,0.8260802469135802,0.001080246913580274,0.7890060316912169,0.004524957210142455
palabras,Random Forest,0.8324074074074074,0.017592592592592604,0.8388521457965902,0.019481187536742994,0.8324074074074074,0.017592592592592604,0.8031512809802284,0.021015385686438404
palabras,KNN,0.6333333333333333,0.033333333333333326,0.6133634738032887,0.043358062547877385,0.6333333333333333,0.033333333333333326,0.5892354430548875,0.036556871626316045
caracteres,LinearSVC,0.8758487654320988,0.011651234567901236,0.8556811668270001,0.018996863476030135,0.8758487654320988,0.011651234567901236,0.8561165613364687,0.014925105330197919
caracteres,Regresión Logística,0.8200617283950618,0.029938271604938282,0.8420481935759714,0.031231027203249495,0.8200617283950618,0.029938271604938282,0.806015334117186,0.033548157946306056
caracteres,Random Forest,0.8509259259259259,0.0009259259259259411,0.8212071441932552,0.007568108331997281,0.8509259259259259,0.0009259259259259411,0.8218338107030738,0.002018101273838002
caracteres,KNN,0.6706018518518518,0.03310185185185188,0.6183857840975896,0.019650665049970595,0.6706018518518518,0.03310185185185188,0.6191576145048368,0.031136330233552445
combinado,LinearSVC,0.8757716049382716,0.0007716049382716084,0.8502915063331731,0.0012615239698572922,0.8757716049382716,0.0007716049382716084,0.8516853444052518,8.812218302955976e-05
combinado,Regresión Logística,0.8572530864197531,0.017746913580246937,0.8365024862825788,0.01578918038408783,0.8572530864197531,0.017746913580246937,0.8295388630573814,0.027762724244205783
combinado,Random Forest,0.8757716049382716,0.0007716049382716084,0.8351936926242483,0.01276570908515351,0.8757716049382716,0.0007716049382716084,0.8443482491892316,0.004300505437783986
combinado,KNN,0.7203703703703703,0.020370370370370372,0.6897025646678425,0.022966453556731267,0.7203703703703703,0.020370370370370372,0.6834032661961406,0.025448304491178853
