Entropy,Size,Label
7.9979506325889735,87896,0
7.998078002539819,97190,0
7.992282694833619,25819,0
7.993580786207541,1461837,0
7.999471670360465,362441,0
7.997362288818013,78168,0
7.990221999689485,21145,0
7.995833431894851,44888,0
7.787795546952085,1800157,0
7.99809648834864,91617,0
7.924105548858138,2298908,0
7.999758040151653,791005,0
7.999758193693633,700248,0
7.999642525101305,1188660,0
7.999377978869406,275800,0
7.996513267922997,50942,0
7.997849808397915,83870,0
7.9603683898822695,1363342,0
7.894429670950117,15376523,0
7.999168006855674,257880,0
7.999140345693992,1140297,0
7.996756014057901,72024,0
7.998822577140295,143760,0
7.997662193704642,75005,0
7.971514497367795,10353482,0
7.986421184227047,3456309,0
7.85371904823526,1182552,0
7.999162575140575,1164824,0
7.964286846660494,10125656,0
7.998677725812737,135628,0
7.990272249606454,20610,0
7.4536582005631145,3338357,0
7.999488089693919,327417,0
7.999795066903628,877400,0
7.997428508089259,1264250,0
7.997921559095624,99160,0
7.998228822525449,89469,0
7.990999395718719,20847,0
7.98196383277152,1775090,0
7.954494558413278,2693550,0
4.9253515499349465,6924632,0
7.998493843617989,1186528,0
7.999042323363608,202072,0
7.999163959697353,248084,0
7.995982882657093,41176,0
7.9995429680329435,390218,0
7.9992033631805155,245015,0
5.506607827017055,3888984,0
7.996359727815795,1281413,0
7.997255019872672,76632,0
7.9979576500824825,87602,1
7.9980579904186735,96882,1
7.992899990051391,25522,1
7.999886799125302,1461538,1
7.9994462251646565,362146,1
7.99790976604156,77824,1
7.991281296362703,20850,1
7.995872991134106,44594,1
7.999895763769505,1799858,1
7.998044000373075,91314,1
7.999919734737666,2298610,1
7.999764756387528,790706,1
7.999732328699308,699954,1
7.999857555763745,1188354,1
7.9993400805637105,275506,1
7.997014592149556,50642,1
7.997470640497989,83570,1
7.999875421059527,1363042,1
7.999987909832181,15376226,1
7.999274784055019,257586,1
7.9998483706185395,1140002,1
7.997439124545537,71730,1
7.998560065160034,143458,1
7.997612586400688,74706,1
7.999980574778066,10353186,1
7.999951377778857,3456002,1
7.999857001605091,1182258,1
7.999830167498242,1164530,1
7.999983969302597,10125312,1
7.998396378415071,135330,1
7.992294216140112,20306,1
7.999946265691219,3338050,1
7.999480972478994,327122,1
7.999778083449527,877106,1
7.999868391582299,1263954,1
7.9981037562619575,98866,1
7.998099019474739,89170,1
7.990095194270487,20546,1
7.999904502251616,1774786,1
7.999931938164278,2693250,1
7.999973386163982,6924338,1
7.999823878583351,1186226,1
7.998927329496176,201778,1
7.999283192397834,247778,1
7.996034100975716,40882,1
7.999561343608737,389922,1
7.9992646340989415,244706,1
7.999944444326557,3888690,1
7.999848542630771,1281106,1
7.997174434358477,76338,1
6.283857694886059,88068,2
7.9539041174639955,97362,2
7.980378128335831,25991,2
7.977167622168701,1462009,2
7.930743010873965,362613,2
5.6868248630171205,78340,2
7.66561480060598,21317,2
5.545668339259864,45060,2
7.865737765417113,1800329,2
7.925920243207754,91789,2
7.955545800572726,2299080,2
7.988172985448902,791177,2
6.401483192729455,700420,2
7.984964170282736,1188832,2
7.280258337893536,275972,2
7.9149390086748985,51114,2
